nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Glauber Braga,M,88 dias,3 dias,1 dias,46 reuniões,3 reuniões,16 reuniões,26/06/1982,"240.784,34","1.083.239,39","33.763,00",-,"31.524,84","46.990,34","43.161,14","41.104,72","26.199,00","21.782,77","8.772,04","3.355,87","637,51",-,-,-,"111.635,78","111.635,78","106.112,74","100.164,04","110.185,24","108.335,96","106.862,15","108.335,96","108.335,96","0,00",-
Glaustin da Fokus,M,73 dias,7 dias,12 dias,10 reuniões,2 reuniões,2 reuniões,22/12/1973,"242.210,77","1.092.158,14","33.763,00",-,"11.824,00","26.296,76","121.027,92","43.887,86","6.316,73","6.012,78","307,54","1,58","15.543,80",-,-,-,"110.313,37","111.653,47","111.653,47","111.653,47","111.548,53","99.804,96","101.249,81","111.501,81","111.501,81","0,00",-
Guilherme Mussi,M,55 dias,15 dias,22 dias,0 reuniões,2 reuniões,1 reuniões,14/10/1982,"167.260,89","1.113.779,92","33.763,00",-,"40.786,13","29.938,94","27.120,16","21.082,66","3.643,94","8.274,08","7.555,10","5.000,20","10.287,16",-,-,-,"111.370,21","110.695,37","111.363,58","111.335,52","111.326,61","111.432,25","111.611,10","111.611,10","111.611,10","160,85",-
Guiga Peixoto,M,92 dias,0 dias,0 dias,20 reuniões,0 reuniões,12 reuniões,13/11/1961,"245.565,09","1.064.377,63","33.763,00",-,"30.365,65","19.433,99","44.132,42","27.096,29","31.276,49","28.081,91","26.381,12","12.089,61","5.804,07",-,-,-,"110.067,97","109.025,07","109.965,86","109.756,34","101.721,15","95.424,72","107.166,92","106.267,03","106.325,54","739,25",-
Gonzaga Patriota,M,80 dias,6 dias,6 dias,28 reuniões,7 reuniões,25 reuniões,26/04/1946,"303.093,71","1.115.718,01","33.763,00",-,"36.532,80","44.638,78","47.392,53","37.071,52","33.365,05","14.810,82","24.195,76","14.592,64","21.187,43",-,-,-,"111.533,39","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","111.580,83","6.525,82",-
Gustavo Fruet,M,91 dias,1 dias,0 dias,26 reuniões,0 reuniões,1 reuniões,18/04/1963,"371.154,57","1.063.279,34","33.763,00",-,"69.808,76","56.026,78","47.334,53","68.837,63","23.097,35","16.604,91","8.174,92","2.810,21","26.188,67",-,-,-,"106.054,78","106.054,78","106.054,78","106.054,78","106.019,19","103.701,22","103.701,22","108.481,10","111.352,39","371,93",-
Gurgel,M,91 dias,0 dias,1 dias,45 reuniões,0 reuniões,9 reuniões,02/12/1980,"297.700,37","1.043.331,18","33.763,00",-,"50.602,99","53.138,70","41.300,20","41.056,98","29.009,30","16.063,62","23.894,73","4.534,47","7.038,58",-,-,-,"94.076,65","98.798,22","105.810,92","97.414,57","106.438,09","111.465,45","110.479,86","110.137,04","100.537,37","206,79",-
Gustinho Ribeiro,M,76 dias,8 dias,8 dias,9 reuniões,3 reuniões,17 reuniões,16/02/1982,"294.493,37","1.116.716,10","33.763,00",-,"72.060,11","19.440,13","53.501,99","61.050,02","62.592,98","9.368,45","5.296,21","4.189,16","0,00",-,-,-,"111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","0,00",-
Gutemberg Reis,M,80 dias,0 dias,12 dias,28 reuniões,0 reuniões,19 reuniões,09/09/1979,"319.328,21","1.113.305,50","33.763,00",-,"37.058,19","39.957,54","39.003,29","35.397,82","35.548,76","35.184,90","23.289,89","18.535,79","21.346,48",-,-,-,"111.586,82","110.729,78","111.586,82","110.789,77","111.146,85","111.458,26","111.246,74","111.586,82","111.586,82","2.194,52",-
Helder Salomão,M,88 dias,3 dias,1 dias,35 reuniões,9 reuniões,11 reuniões,08/03/1964,"288.776,51","1.100.336,27","33.763,00",-,"46.569,54","43.715,68","39.193,71","35.739,34","25.804,13","25.901,62","20.309,17","15.007,85","13.093,49",-,-,-,"108.620,67","108.620,67","108.620,67","108.620,67","111.370,72","111.465,55","111.465,55","111.465,55","111.465,55","583,28",-
Haroldo Cathedral,M,37 dias,0 dias,4 dias,0 reuniões,0 reuniões,0 reuniões,11/05/1953,"201.866,18","1.101.382,47","33.763,00",-,"38.592,67","38.415,39",-,"17.064,17",-,-,"17.838,49","27.749,28","25.028,60",-,-,-,"111.538,36","111.538,36","111.538,36","111.538,36","106.037,07","108.248,33","108.152,26","111.475,89","110.582,12","260,00",-
Heitor Freire,M,79 dias,13 dias,0 dias,21 reuniões,20 reuniões,30 reuniões,08/10/1981,"426.134,22","1.106.657,50","33.763,00",-,"22.147,14","58.578,83","47.573,98","44.388,99","24.699,86","52.243,35","24.034,75","32.084,10","75.923,94",-,-,-,"110.953,30","110.359,50","111.481,10","110.475,29","109.817,62","111.314,25","111.150,06","110.377,84","109.281,31","0,00",-
Heitor Schuch,M,77 dias,12 dias,3 dias,27 reuniões,4 reuniões,4 reuniões,25/03/1962,"313.545,08","1.079.158,20","33.763,00",-,"27.229,69","41.738,13","71.235,90","47.628,10","26.290,08","28.128,15","20.506,74","21.382,34","10.961,55",-,-,-,"107.595,60","107.595,60","111.653,64","110.706,76","111.528,48","108.951,61","106.686,31","103.422,30","103.422,30","910,35",-
Hélio Leite,M,86 dias,3 dias,3 dias,26 reuniões,0 reuniões,39 reuniões,09/12/1957,"311.501,18","1.115.311,38","33.763,00",-,"33.114,24","50.848,23","82.360,81","40.083,76","17.710,54","18.649,82","15.787,41","9.152,86","5.140,00",-,-,-,"111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.538,26","111.467,04","300,00",-
Hélio Costa,M,86 dias,6 dias,0 dias,41 reuniões,4 reuniões,11 reuniões,03/03/1954,"363.010,49","1.077.630,46","33.763,00",-,"25.895,84","42.089,22","53.304,15","59.253,62","42.968,62","28.285,02","47.223,51","18.135,05","12.970,51",-,-,-,"108.966,57","105.181,11","111.392,87","107.906,65","111.392,87","111.392,87","110.279,50","111.392,87","90.758,58","2.258,13",-
Helio Lopes,M,85 dias,2 dias,5 dias,11 reuniões,2 reuniões,19 reuniões,28/03/1969,"325.927,32","1.080.153,53","33.763,00",-,"20.129,73","20.908,71","126.009,87","15.959,57","40.424,07","19.559,06","19.728,52","21.207,48","15.998,68",-,-,-,"100.983,71","105.907,19","109.879,71","107.619,71","110.955,90","110.955,90","110.955,90","110.955,90","110.955,90","601,87",-
Henrique Fontana,M,87 dias,3 dias,2 dias,10 reuniões,2 reuniões,8 reuniões,18/01/1960,"243.460,56","1.085.460,81","33.763,00",-,"12.589,61","38.772,48","39.615,05","30.692,56","29.232,23","31.433,45","19.791,30","9.180,71","16.274,60",-,-,-,"110.084,73","107.446,09","105.862,69","105.775,84","107.355,35","110.206,59","105.283,68","110.660,36","111.580,75","0,00",-
Hermes Parcianello,M,76 dias,5 dias,11 dias,0 reuniões,0 reuniões,24 reuniões,25/04/1958,"323.233,63","1.105.379,72","33.763,00",-,"91.180,85","21.686,73","98.142,11","22.782,96","27.564,61","19.639,11","9.399,11","6.442,33","2.845,81",-,-,-,"111.653,59","111.465,33","110.761,67","111.601,60","111.617,19","108.353,75","111.617,15","110.465,86","106.312,30","0,00",-
Hugo Leal,M,83 dias,2 dias,7 dias,70 reuniões,1 reuniões,31 reuniões,06/08/1962,"256.116,73","966.873,05","33.763,00",-,"32.691,99","28.417,24","39.390,80","37.481,29","39.996,77","11.917,66","7.954,59","11.414,08","5.766,53",-,-,-,"101.256,77","102.301,08","106.151,93","103.730,03","99.244,75","96.057,39","87.682,43","83.827,22","85.341,40","413,85",-
Hercílio Coelho Diniz,M,55 dias,29 dias,8 dias,11 reuniões,21 reuniões,2 reuniões,14/09/1963,"0,00","827.780,45","33.763,00",-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",-,-,-,"59.290,57","59.989,38","84.017,68","63.388,82","96.088,28","107.430,80","108.274,93","108.274,93","81.331,32","0,00",-
Herculano Passos,M,87 dias,3 dias,2 dias,38 reuniões,8 reuniões,4 reuniões,04/08/1956,"354.756,78","1.064.843,64","33.763,00",-,"40.932,16","37.578,21","42.217,44","27.556,28","32.275,57","29.438,11","26.350,96","36.350,30","17.507,24",-,-,-,"107.856,45","107.856,45","104.656,25","110.100,81","104.938,80","100.880,76","102.189,81","104.938,80","110.420,89","504,43",-
Hildo Rocha,M,88 dias,3 dias,1 dias,47 reuniões,1 reuniões,12 reuniões,22/04/1960,"325.842,21","1.010.908,87","33.763,00",-,"41.668,52","63.474,79","35.711,78","41.172,58","37.398,45","27.224,54","14.043,48","2.003,75","25.192,94",-,-,-,"111.592,93","111.065,20","111.592,93","111.592,93","107.958,49","84.561,70","86.983,92","86.983,92","86.983,92","180,09",-
Hiran Gonçalves,M,77 dias,4 dias,11 dias,27 reuniões,3 reuniões,18 reuniões,19/06/1957,"375.045,21","1.028.036,37","33.763,00",-,"45.379,55","50.365,66","60.380,39","68.428,93","35.706,97","31.871,73","12.574,08","14.926,10","20.671,54",-,-,-,"91.423,62","101.326,80","102.432,93","102.815,66","106.282,44","110.906,64","111.574,66","111.574,66","108.457,22","0,00",-
Hugo Motta,M,78 dias,9 dias,5 dias,0 reuniões,6 reuniões,18 reuniões,11/09/1989,"301.355,97","1.116.001,70","33.763,00",-,"52.115,97","50.321,06","33.832,88","50.233,24","19.843,09","21.744,93","18.363,15","3.118,39","8.465,44",-,-,-,"111.586,88","111.586,88","111.552,45","111.586,88","111.623,28","111.623,28","111.623,28","111.623,28","111.623,28","670,52",-
Benes Leocádio,M,88 dias,3 dias,1 dias,35 reuniões,2 reuniões,6 reuniões,22/04/1966,"344.846,46","1.070.001,74","33.763,00",-,"37.181,80","51.640,86","43.851,34","47.232,83","39.594,20","33.482,93","21.709,18","17.997,68","19.068,31",-,-,-,"110.203,77","106.658,99","106.527,95","104.203,11","105.841,47","105.921,33","105.964,18","107.249,74","107.227,43","390,00",-
Beto Faro,M,82 dias,0 dias,10 dias,5 reuniões,0 reuniões,17 reuniões,20/06/1969,"343.680,40","1.107.132,60","33.763,00",-,"51.528,80","51.595,33","56.264,93","38.245,47","15.343,49","16.815,59","14.152,72","12.879,36","8.054,07",-,-,-,"110.666,21","109.899,05","111.210,84","111.210,84","110.568,67","110.434,02","111.210,84","111.210,84","109.510,45","28.160,00",-
Beto Rosado,M,77 dias,13 dias,2 dias,18 reuniões,9 reuniões,7 reuniões,01/02/1982,"411.553,49","1.114.457,24","33.763,00",-,"49.871,28","47.518,82","44.584,40","51.520,30","32.245,60","35.040,79","36.239,48","25.857,60","51.517,95",-,-,-,"111.580,74","111.495,03","111.498,95","111.145,61","111.507,99","111.507,99","111.485,68","111.392,71","111.406,01","0,00",-
Bibo Nunes,M,90 dias,1 dias,1 dias,33 reuniões,0 reuniões,23 reuniões,09/01/1957,"439.324,04","978.080,61","33.763,00",-,"114.136,35","111.815,04","43.243,88","46.216,96","31.393,94","31.363,41","20.069,13","4.504,01","203,82",-,-,-,"106.661,35","107.626,01","108.678,71","107.100,08","110.863,76","102.938,79","80.792,43","71.989,13","73.592,08","0,00",-
Beto Pereira,M,87 dias,2 dias,3 dias,29 reuniões,3 reuniões,42 reuniões,14/11/1977,"317.620,57","1.114.088,41","33.763,00",-,"37.733,45","46.071,17","43.050,57","46.424,41","37.786,28","29.839,31","16.128,37","5.877,55","23.407,08",-,-,-,"111.586,80","110.868,87","111.457,65","111.514,00","111.586,78","110.672,43","111.629,28","111.629,28","111.629,28","0,00",-
Bilac Pinto,M,80 dias,5 dias,7 dias,54 reuniões,3 reuniões,7 reuniões,08/06/1963,"366.957,28","1.114.014,41","33.763,00",-,"39.391,23","36.766,95","36.320,33","36.370,18","35.989,93","35.978,06","36.058,35","36.004,29","35.970,41",-,-,-,"111.532,26","111.532,26","111.532,26","111.532,26","110.224,07","111.532,26","111.532,26","111.532,26","111.532,26","0,00",-
Bohn Gass,M,90 dias,2 dias,0 dias,24 reuniões,0 reuniões,15 reuniões,05/02/1962,"356.144,70","1.113.456,25","33.763,00",-,"43.618,49","51.772,61","45.029,72","63.215,02","40.093,42","35.113,72","22.679,14","12.788,68","11.078,65",-,-,-,"111.557,99","111.508,13","111.641,38","111.641,38","110.811,40","111.604,98","111.604,98","111.604,98","109.839,67","61,90",-
Bira do Pindaré,M,82 dias,10 dias,0 dias,21 reuniões,10 reuniões,26 reuniões,01/11/1968,"387.766,48","1.115.746,50","33.763,00",-,"23.825,08","34.402,73","96.746,00","76.284,21","27.251,80","28.044,88","18.372,93","31.746,67","30.336,85",-,-,-,"111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","111.574,65","75,48",-
Bosco Costa,M,88 dias,2 dias,2 dias,37 reuniões,0 reuniões,9 reuniões,28/09/1950,"377.536,38","1.096.871,16","33.763,00",-,"50.001,03","50.347,54","42.852,09","42.678,14","50.270,89","42.871,55","39.751,16","27.086,09","14,10",-,-,-,"111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","111.544,51","106.200,33","104.641,61","107.654,94","0,00",-
Bosco Saraiva,M,71 dias,3 dias,18 dias,16 reuniões,1 reuniões,9 reuniões,10/10/1959,"439.146,04","1.112.738,23","33.763,00",-,"70.842,66","44.263,27","34.723,62","65.965,82","32.000,51","62.345,58","33.068,34","15.213,66","42.105,16",-,-,-,"111.611,12","109.394,55","111.611,12","111.611,12","111.393,56","111.146,01","111.574,73","111.574,73","111.210,17","2.045,08",-
Bozzella,M,83 dias,8 dias,1 dias,42 reuniões,5 reuniões,9 reuniões,17/08/1980,"323.600,79","1.108.661,55","33.763,00",-,"39.636,09","43.735,10","40.304,87","36.718,08","30.143,90","40.029,84","26.482,22","25.062,37","11.174,19",-,-,-,"111.642,57","107.512,59","111.134,28","110.707,93","111.357,59","110.509,90","111.392,57","111.392,57","111.388,46","965,48",-
Capitão Alberto Neto,M,88 dias,2 dias,2 dias,66 reuniões,1 reuniões,3 reuniões,05/05/1982,"240.537,12","1.108.460,75","33.763,00",-,"32.144,12","50.784,42","36.167,69","59.974,73","18.635,29","18.846,91","9.376,93","3.645,06","0,00",-,-,-,"108.183,95","109.814,87","111.520,15","109.505,49","111.370,71","111.635,38","111.635,38","111.635,38","111.635,38","200,00",-
Capitão Augusto,M,85 dias,3 dias,4 dias,29 reuniões,2 reuniões,39 reuniões,04/10/1966,"297.009,79","1.109.989,13","33.763,00",-,"30.742,36","42.982,94","46.093,18","38.181,18","19.473,47","21.678,43","15.614,72","14.321,17","34.465,04",-,-,-,"110.586,80","107.796,83","111.659,59","111.659,59","111.659,59","110.759,70","110.888,26","111.659,59","111.659,59","866,31",-
Cacá Leão,M,71 dias,5 dias,16 dias,12 reuniões,3 reuniões,14 reuniões,03/11/1979,"366.087,19","1.084.232,34","33.763,00",-,"41.252,22","49.713,11","45.749,21","49.721,69","41.212,41","38.074,00","37.034,37","15.502,42","17.509,15",-,-,-,"108.483,94","109.030,38","109.215,09","109.215,09","107.121,98","105.670,31","109.215,09","109.215,09","109.215,09","221,02",-
Camilo Capiberibe,M,89 dias,3 dias,0 dias,67 reuniões,5 reuniões,20 reuniões,23/05/1972,"337.744,18","1.098.429,16","33.763,00",-,"54.545,96","40.139,58","29.912,43","50.674,76","32.899,67","36.174,05","9.998,80","8.076,55","18.051,57",-,-,-,"111.508,06","111.508,06","110.034,25","111.508,06","109.670,30","105.908,91","110.137,58","107.941,38","108.704,50","0,00",-
Capitão Derrite,M,90 dias,0 dias,2 dias,21 reuniões,0 reuniões,0 reuniões,10/10/1984,"311.577,86","1.087.142,69","33.763,00",-,"45.785,15","42.375,69","31.336,58","37.535,61","34.084,37","31.084,94","27.610,70","13.235,82","15.159,95",-,-,-,"111.429,18","111.078,93","111.198,68","111.198,68","111.198,68","104.902,34","104.902,34","104.902,34","104.902,34","0,00",-
Capitão Fábio Abreu,M,90 dias,1 dias,1 dias,56 reuniões,0 reuniões,9 reuniões,31/12/1972,"411.441,61","1.112.307,70","33.763,00",-,"43.044,36","37.886,06","65.451,97","54.828,28","38.676,13","33.219,21","38.283,53","44.917,64","27.807,28",-,-,-,"111.425,25","109.950,47","111.125,87","110.995,45","111.505,00","111.580,82","111.580,83","111.580,83","111.061,64","150,72",-
Capitão Wagner,M,31 dias,0 dias,2 dias,0 reuniões,0 reuniões,1 reuniões,21/01/1979,"141.934,34","1.112.741,02","33.763,00",-,"32.236,66","11.029,18",-,-,-,"12.950,64","18.376,97","6.416,85","4.739,03",-,-,-,"110.107,68","111.586,87","111.665,79","111.652,64","110.952,40","111.665,74","111.665,74","111.665,74","111.304,92","663,94",-
Carlos Bezerra,M,29 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,04/11/1941,"190.129,10","1.115.384,57","33.763,00",-,"53.701,17","0,00",-,-,-,"2.047,03","848,36","647,00","58.238,75",-,-,-,"111.611,13","111.611,13","111.611,13","111.611,13","111.611,13","110.884,40","111.611,13","111.611,13","111.611,13","57.547,51",-
Carlos Sampaio,M,87 dias,1 dias,4 dias,14 reuniões,0 reuniões,5 reuniões,31/03/1963,"314.513,00","1.059.385,24","33.763,00",-,"54.934,33","51.456,20","42.806,53","45.438,40","22.600,90","21.181,85","14.951,58","15.364,01","20.163,46",-,-,-,"107.767,17","108.820,89","108.689,99","108.820,89","104.762,85","103.243,66","104.762,85","104.762,85","103.901,13","0,00",-
Carlos Jordy,M,84 dias,3 dias,5 dias,10 reuniões,0 reuniões,0 reuniões,08/02/1982,"193.058,73","1.079.427,92","33.763,00",-,"20.943,23","27.544,00","29.052,38","16.413,28","31.940,35","20.649,20","10.845,10","8.605,79","8.978,05",-,-,-,"111.522,26","105.827,62","110.447,03","98.809,78","111.102,14","104.135,41","108.845,03","110.375,04","110.523,12","1.075,21",-
Carlos Chiodini,M,85 dias,4 dias,3 dias,25 reuniões,6 reuniões,8 reuniões,08/03/1982,"257.915,07","1.088.228,66","33.763,00",-,"33.080,35","34.458,92","28.696,29","35.659,60","31.410,11","38.827,88","16.920,33","11.149,03","6.369,69",-,-,-,"109.597,20","107.219,44","109.943,02","108.994,73","110.230,95","107.098,15","107.098,15","107.098,15","110.896,73","200,00",-
Carlos Gomes,M,92 dias,0 dias,0 dias,21 reuniões,2 reuniões,4 reuniões,13/06/1972,"266.017,48","1.012.698,46","33.763,00",-,"25.578,63","34.691,71","55.517,35","31.224,22","34.811,05","23.121,54","21.226,21","8.490,46","11.675,18",-,-,-,"99.271,45","96.032,28","102.490,61","98.637,08","102.621,52","102.621,52","104.715,99","106.679,56","106.679,56","932,26",-
Carlos Henrique Gaguim,M,79 dias,1 dias,12 dias,33 reuniões,1 reuniões,24 reuniões,21/04/1961,"365.968,75","1.014.767,71","33.763,00",-,"54.727,25","51.686,19","38.169,71","49.827,56","34.594,12","36.583,75","31.857,00","13.639,42","15.863,38",-,-,-,"100.838,78","96.663,69","100.925,82","98.112,79","94.627,79","96.910,28","103.302,09","107.870,51","108.426,55","539,97",-
José Guimarães,M,87 dias,5 dias,0 dias,30 reuniões,1 reuniões,6 reuniões,13/02/1957,"330.052,23","1.109.829,63","33.763,00",-,"49.264,70","53.330,78","39.099,98","44.056,16","40.522,75","38.743,31","5.167,09","5.484,15","18.802,39",-,-,-,"111.580,82","106.516,85","111.617,20","111.349,50","111.617,20","110.824,75","111.580,83","111.580,83","111.580,83","0,00",-
Jose Mario Schreiner,M,90 dias,1 dias,1 dias,23 reuniões,1 reuniões,18 reuniões,08/02/1961,"321.855,16","1.066.482,06","33.763,00",-,"34.131,00","35.150,44","33.895,08","34.335,14","34.419,78","30.802,48","30.264,95","28.822,57","27.655,04",-,-,-,"110.458,63","111.653,60","107.595,56","110.841,99","106.178,18","102.628,43","103.537,52","103.537,52","100.093,12","0,00",-
José Medeiros,M,91 dias,1 dias,0 dias,13 reuniões,0 reuniões,12 reuniões,19/03/1970,"425.982,17","1.086.660,28","33.763,00",-,"57.092,54","53.792,40","69.600,74","51.560,09","44.189,19","32.055,20","28.733,60","28.925,42","18.420,03",-,-,-,"107.407,42","107.407,42","97.298,23","109.785,43","106.682,36","111.653,49","111.653,49","111.653,49","111.653,49","0,00",-
José Ricardo,M,87 dias,4 dias,1 dias,52 reuniões,1 reuniões,2 reuniões,23/06/1964,"379.737,78","1.116.596,60","33.763,00",-,"48.226,11","44.947,97","56.607,85","40.154,45","45.635,99","32.568,83","18.088,42","9.458,98","33.245,54",-,-,-,"111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","111.659,66","3.264,13",-
José Nunes,M,37 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,18/12/1950,"152.004,38","435.131,91","33.763,00",-,"44.699,63","41.468,03","0,00","14.382,59",-,-,-,-,-,-,-,-,"111.589,78","111.513,97","0,00","100.362,57","0,00","0,00","0,00","0,00","0,00","150,00",-
José Priante,M,74 dias,3 dias,15 dias,2 reuniões,0 reuniões,0 reuniões,02/12/1963,"243.483,10","990.861,14","33.763,00",-,"21.611,02","36.293,55","26.042,21","46.059,11","30.264,32","17.847,28","45.184,97","5.617,88","534,75",-,-,-,"100.844,39","98.958,69","98.302,80","98.302,80","98.302,80","98.302,80","101.247,86","101.450,97","98.059,58","0,00",-
José Rocha,M,82 dias,10 dias,0 dias,43 reuniões,14 reuniões,30 reuniões,18/08/1948,"341.483,82","1.116.171,10","33.763,00",-,"33.000,03","37.777,87","36.822,12","42.689,97","29.942,35","43.118,28","38.255,35","34.560,49","20.042,34",-,-,-,"111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","111.617,11","0,00",-
José Nelto,M,76 dias,9 dias,7 dias,11 reuniões,6 reuniões,27 reuniões,19/09/1960,"359.343,92","1.109.765,59","33.763,00",-,"31.027,78","65.930,97","58.347,09","33.393,00","9.066,40","44.447,74","45.204,58","52.635,69","447,97",-,-,-,"111.520,25","111.520,25","111.520,25","111.520,25","109.841,23","111.520,25","111.134,58","111.411,47","108.256,81","0,00",-
Josias Gomes,M,53 dias,14 dias,1 dias,14 reuniões,6 reuniões,8 reuniões,14/10/1956,"244.965,94","763.624,57","33.763,00",-,-,-,"42.560,03","37.812,96","33.851,36","34.320,23","29.429,08","28.432,62","38.159,66",-,-,-,"0,00","0,00","105.042,36","102.768,71","111.420,19","111.471,35","110.889,20","110.889,20","111.143,56","400,00",-
Joseildo Ramos,M,84 dias,3 dias,5 dias,33 reuniões,0 reuniões,2 reuniões,23/08/1957,"390.729,06","1.113.579,40","33.763,00",-,"44.516,13","51.988,63","23.871,94","37.649,80","49.876,84","34.364,16","32.616,98","28.446,92","26.897,52",-,-,-,"111.192,49","111.192,49","111.501,09","111.134,29","111.538,26","111.538,26","111.538,26","111.538,26","111.430,66","0,00",-
Josimar Maranhãozinho,M,41 dias,0 dias,2 dias,0 reuniões,0 reuniões,0 reuniões,13/11/1976,"160.429,33","1.100.076,94","33.763,00",-,"47.905,56","52.338,19",-,"17.061,07",-,-,"511,98","4.108,54","1.792,26",-,-,-,"111.471,60","110.571,71","111.471,60","110.320,31","111.471,60","111.508,56","109.200,21","106.309,55","106.280,20","340,28",-
Josivaldo JP,M,88 dias,4 dias,0 dias,29 reuniões,6 reuniões,0 reuniões,29/11/1983,"279.506,54","1.087.475,42","33.763,00",-,"50.216,34","66.242,26","31.532,54","54.516,89","14.146,15","9.948,48","25.223,10","5.493,00","601,81",-,-,-,"109.133,04","108.673,14","109.322,96","108.126,11","109.689,09","110.179,61","108.448,10","109.154,46","104.914,27","195,85",-
Júlio Cesar,M,86 dias,4 dias,2 dias,29 reuniões,1 reuniões,2 reuniões,25/08/1948,"329.807,36","1.114.549,89","33.763,00",-,"33.482,83","56.838,12","40.211,43","35.813,07","44.250,16","29.186,93","16.972,21","7.841,05","16.998,72",-,-,-,"111.538,26","111.538,26","111.538,26","111.538,26","111.501,88","111.501,88","111.161,80","111.501,88","111.191,15","0,00",-
Julian Lemos,M,82 dias,3 dias,7 dias,11 reuniões,2 reuniões,13 reuniões,05/01/1976,"272.569,55","1.073.734,88","33.763,00",-,"43.307,15","46.413,68","40.271,63","34.292,95","18.048,99","23.755,06","10.112,59","13.734,90","3.988,34",-,-,-,"110.741,87","107.850,38","106.945,98","102.147,71","111.544,27","111.280,11","111.064,87","110.913,41","94.968,94","0,00",-
Juarez Costa,M,76 dias,14 dias,2 dias,30 reuniões,10 reuniões,4 reuniões,20/01/1960,"286.297,01","1.107.779,47","33.763,00",-,"29.769,80","40.259,36","49.103,29","37.858,68","26.328,45","25.776,41","20.924,48","16.871,27","5.642,50",-,-,-,"111.162,37","111.162,37","111.162,37","111.162,37","111.162,37","111.162,37","111.162,37","109.674,42","108.806,09","0,00",-
Júlio Delgado,M,91 dias,0 dias,1 dias,48 reuniões,0 reuniões,31 reuniões,18/11/1966,"245.091,49","1.109.806,59","33.763,00",-,"35.296,45","33.823,83","56.841,53","34.364,11","17.475,27","17.669,93","11.169,38","4.631,02","9.789,91",-,-,-,"110.986,45","111.235,30","111.550,51","111.531,30","109.027,34","111.593,02","110.694,89","111.562,28","110.639,05","443,54",-
Julio Cesar Ribeiro,M,87 dias,2 dias,3 dias,60 reuniões,6 reuniões,6 reuniões,24/02/1975,"263.477,95","1.094.014,85","33.763,00",-,"28.619,85","35.118,26","38.418,47","31.477,20","33.269,13","13.143,92","14.635,22","24.505,80","17.400,00",-,-,-,"105.263,07","106.792,55","111.223,92","108.795,61","109.230,11","110.628,48","110.962,29","111.235,06","109.124,74","0,00",-
Juninho do Pneu,M,90 dias,0 dias,2 dias,25 reuniões,0 reuniões,22 reuniões,23/10/1976,"337.821,24","1.112.183,77","33.763,00",-,"34.365,28","31.977,44","44.814,09","39.661,39","26.560,48","25.486,90","17.046,65","12.279,37","71.724,25",-,-,-,"110.894,43","111.659,58","111.659,58","111.659,58","111.659,58","111.659,58","111.430,45","111.319,90","111.319,90","833,24",-
Junio Amaral,M,91 dias,1 dias,0 dias,30 reuniões,0 reuniões,0 reuniões,30/06/1987,"179.389,33","1.058.167,42","33.763,00",-,"14.451,11","25.610,69","31.129,39","31.335,45","17.956,64","18.110,53","6.532,70","3.657,75","12.777,63",-,-,-,"111.568,64","104.078,91","107.929,17","107.929,17","107.929,17","104.584,75","101.899,75","98.331,82","102.672,03","848,25",-
Júnior Ferrari,M,90 dias,0 dias,2 dias,9 reuniões,0 reuniões,3 reuniões,13/07/1967,"94.663,23","1.110.371,24","33.763,00",-,"8.762,84","8.003,19","19.604,33","21.597,73","15.478,69","6.864,46","622,21","109,48","4.939,99",-,-,-,"110.937,81","110.937,81","111.456,53","110.654,13","111.089,43","111.089,43","111.089,43","111.089,43","111.089,43","0,00",-
Júnior Mano,M,67 dias,8 dias,17 dias,6 reuniões,3 reuniões,30 reuniões,16/04/1985,"272.306,50","1.107.574,02","33.763,00",-,"16.147,74","37.180,59","76.496,63","37.869,41","42.600,85","18.616,90","5.577,94","2.286,77","0,00",-,-,-,"111.053,08","111.053,08","111.053,08","111.053,08","111.053,08","111.053,08","110.753,12","109.724,67","109.724,67","0,00",-
