nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Gelson Azevedo,M,88 dias,0 dias,4 dias,17 reuniões,0 reuniões,13 reuniões,10/01/1965,"268.046,24","1.112.585,65","33.763,00",-,"18.142,04","73.589,54","60.671,30","23.955,82","21.380,73","24.088,36","10.719,92","15.215,86","1.858,58",-,-,-,"111.429,10","111.429,10","111.523,22","111.207,70","111.580,75","111.580,75","111.580,75","111.580,75","109.244,43","1.215,22",-
Genecias Noronha,M,58 dias,31 dias,3 dias,0 reuniões,0 reuniões,0 reuniões,13/03/1963,"177.557,54","1.012.113,82","33.763,00",-,"17.143,52","33.463,86","19.477,71","26.327,99","14.497,11","13.104,39","10.260,84","26.907,04","9.462,94",-,-,-,"98.109,44","100.534,90","99.984,28","101.430,22","106.905,63","103.040,08","103.040,08","103.040,08","103.040,08","0,00",-
General Peternelli,M,89 dias,0 dias,3 dias,132 reuniões,0 reuniões,21 reuniões,06/08/1954,"217.684,66","730.045,66","33.763,00",-,"44.800,56","44.569,19","25.933,02","22.660,96","28.500,81","13.743,54","8.753,72","5.423,58","6.241,24",-,-,-,"70.484,71","70.484,71","79.446,76","74.499,52","86.394,48","95.109,95","76.397,80","54.701,66","54.701,66","46,35",-
Gervásio Maia,M,81 dias,5 dias,6 dias,36 reuniões,5 reuniões,14 reuniões,14/04/1975,"266.572,24","1.105.894,42","33.763,00",-,"37.075,33","36.581,92","45.588,36","43.748,87","26.193,97","18.498,45","14.012,00","10.194,19","11.028,08",-,-,-,"110.598,88","110.561,62","109.955,04","110.298,77","109.955,04","110.552,62","111.283,45","110.263,58","110.809,92","321,04",-
General Girão,M,85 dias,4 dias,3 dias,47 reuniões,3 reuniões,6 reuniões,08/05/1955,"353.477,47","1.114.542,85","33.763,00",-,"58.184,62","39.315,76","45.230,05","43.316,28","37.619,01","23.969,66","26.317,64","11.139,62","31.236,58",-,-,-,"111.550,61","111.550,61","111.550,61","111.550,61","110.587,36","111.550,61","111.550,61","111.550,61","111.550,61","0,00",-
Giacobo,M,86 dias,1 dias,5 dias,13 reuniões,1 reuniões,7 reuniões,17/12/1970,"365.841,43","1.096.371,61","33.763,00",-,"49.074,18","58.575,31","52.242,70","7.832,83","38.497,82","8.820,58","6.333,82","4.309,92","62.608,85",-,-,-,"111.089,37","110.699,96","111.616,68","111.659,53","104.856,92","111.659,53","110.779,99","111.160,32","102.457,31","50.090,00",-
Geninho Zuliani,M,51 dias,17 dias,24 dias,9 reuniões,17 reuniões,37 reuniões,13/01/1976,"281.317,44","1.080.042,52","33.763,00",-,"40.468,18","42.837,22","63.995,25","40.713,17","18.553,55","16.151,75","15.973,11","2.755,29","3.475,52",-,-,-,"111.641,38","111.641,38","106.370,18","106.897,30","106.370,18","106.370,18","106.370,18","106.370,18","106.370,18","678,50",-
Gil Cutrim,M,76 dias,5 dias,11 dias,22 reuniões,4 reuniões,27 reuniões,26/10/1979,"399.839,52","1.115.308,02","33.763,00",-,"47.176,96","48.122,54","58.582,87","51.226,09","18.377,58","25.986,45","21.934,68","12.000,22","69.533,34",-,-,-,"111.301,75","111.619,50","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.641,41","111.236,56","0,00",-
Gilson Marques,M,88 dias,4 dias,0 dias,40 reuniões,5 reuniões,5 reuniões,12/04/1981,"50.883,26","798.657,16","33.763,00",-,"5.736,09","5.095,21","11.767,82","6.494,69","7.335,78","6.816,37","1.383,89","3,11","2.766,46",-,-,-,"78.079,20","78.079,20","80.772,44","79.784,92","80.772,44","80.772,44","80.772,44","80.772,44","80.772,44","0,00",-
Gilberto Abramo,M,85 dias,2 dias,5 dias,19 reuniões,1 reuniões,6 reuniões,06/08/1966,"216.901,65","1.077.796,52","33.763,00",-,"22.003,33","27.404,71","32.718,06","34.209,75","23.558,03","15.039,80","18.280,76","12.603,88","12.846,34",-,-,-,"106.564,34","107.092,65","108.384,08","108.384,08","108.384,08","107.270,71","108.384,08","108.384,08","108.384,08","90,47",-
